algorithm,outer_run,generation,native_fitness,projected_fitness,pop_size,n_gen,steps,cxpb,mutpb,seed
EA2B,3,3,0.13043788746135324,0.1308039099890536,120,30,4000,0.9,0.25,342
EA2B,3,4,0.13043788746135324,0.1308039099890536,120,30,4000,0.9,0.25,342
EA2B,3,5,0.13043788746135324,0.1308039099890536,120,30,4000,0.9,0.25,342
EA2B,3,6,0.1360755917487606,0.13620756466993075,120,30,4000,0.9,0.25,342
EA2B,3,7,0.15776032381621907,0.15817996910865462,120,30,4000,0.9,0.25,342
EA2B,3,8,0.1750026597859634,0.17506605172013395,120,30,4000,0.9,0.25,342
EA2B,3,9,0.17881718568819258,0.1796322088020864,120,30,4000,0.9,0.25,342
EA2B,3,10,0.19795170442181542,0.198216345489432,120,30,4000,0.9,0.25,342
EA2B,3,11,0.19949703332892935,0.20021762151312622,120,30,4000,0.9,0.25,342
EA2B,3,12,0.20331945307874633,0.2037195030253689,120,30,4000,0.9,0.25,342
EA2B,3,13,0.21530219364949807,0.2160253302905129,120,30,4000,0.9,0.25,342
EA2B,3,14,0.21530219364949807,0.2160253302905129,120,30,4000,0.9,0.25,342
EA2B,3,15,0.21771117845980553,0.22008060266150387,120,30,4000,0.9,0.25,342
EA2B,3,16,0.22048654169271142,0.2212169803891374,120,30,4000,0.9,0.25,342
EA2B,3,17,0.22136545222130305,0.22380477539929045,120,30,4000,0.9,0.25,342
EA2B,3,18,0.22716840508038816,0.22919592654092066,120,30,4000,0.9,0.25,342
EA2B,3,19,0.2281872601130433,0.2306883054808276,120,30,4000,0.9,0.25,342
EA2B,3,20,0.23038799107170743,0.23140703346595343,120,30,4000,0.9,0.25,342
EA2B,3,21,0.23252017035497125,0.233984406245403,120,30,4000,0.9,0.25,342
EA2B,3,22,0.23301626175051027,0.2345178349249279,120,30,4000,0.9,0.25,342
EA2B,3,23,0.2516385007946754,0.2531058664095478,120,30,4000,0.9,0.25,342
EA2B,3,24,0.25467296650821225,0.25610283870919126,120,30,4000,0.9,0.25,342
EA2B,3,25,0.2625294617208346,0.26325579875072674,120,30,4000,0.9,0.25,342
EA2B,3,26,0.2625294617208346,0.26325579875072674,120,30,4000,0.9,0.25,342
EA2B,3,27,0.2677062409067725,0.26936776691647935,120,30,4000,0.9,0.25,342
EA2B,3,28,0.27006642103069134,0.2718160389761627,120,30,4000,0.9,0.25,342
EA2B,3,29,0.27405231077268954,0.27436903328842205,120,30,4000,0.9,0.25,342
EA2B,3,30,0.2772329567901775,0.2774836809089055,120,30,4000,0.9,0.25,342
