algorithm,outer_run,generation,native_fitness,projected_fitness,pop_size,n_gen,steps,cxpb,mutpb,seed
EA2B,1,0,0.017726823537406934,0.017794103427026736,120,30,4000,0.9,0.25,142
EA2B,1,1,0.017726823537406934,0.017794103427026736,120,30,4000,0.9,0.25,142
EA2B,1,2,0.031161388441181635,0.034141322518386315,120,30,4000,0.9,0.25,142
EA2B,1,3,0.04548707165961803,0.050080208091971036,120,30,4000,0.9,0.25,142
EA2B,1,4,0.06303751578402086,0.06652337809815123,120,30,4000,0.9,0.25,142
EA2B,1,5,0.07936086870590323,0.08154818831484437,120,30,4000,0.9,0.25,142
EA2B,1,6,0.10757357657095235,0.1099900085662745,120,30,4000,0.9,0.25,142
EA2B,1,7,0.10757357657095235,0.1099900085662745,120,30,4000,0.9,0.25,142
EA2B,1,8,0.11712748834664073,0.12747290327334487,120,30,4000,0.9,0.25,142
EA2B,1,9,0.153711648999623,0.15494344150413716,120,30,4000,0.9,0.25,142
EA2B,1,10,0.153711648999623,0.15494344150413716,120,30,4000,0.9,0.25,142
EA2B,1,11,0.15412107662909275,0.15427008780032556,120,30,4000,0.9,0.25,142
EA2B,1,12,0.16776984208268514,0.1678009293716682,120,30,4000,0.9,0.25,142
EA2B,1,13,0.17162257631708638,0.17663628812128324,120,30,4000,0.9,0.25,142
EA2B,1,14,0.1749888265645637,0.17914587503894064,120,30,4000,0.9,0.25,142
EA2B,1,15,0.1822845300995611,0.18387555113265394,120,30,4000,0.9,0.25,142
EA2B,1,16,0.1822845300995611,0.18387555113265394,120,30,4000,0.9,0.25,142
EA2B,1,17,0.1915877563115437,0.19560962404645496,120,30,4000,0.9,0.25,142
EA2B,1,18,0.1960132111983625,0.19980682338814887,120,30,4000,0.9,0.25,142
EA2B,1,19,0.19958640622158913,0.20306117866944554,120,30,4000,0.9,0.25,142
EA2B,1,20,0.2004121760348263,0.20398206627214227,120,30,4000,0.9,0.25,142
EA2B,1,21,0.2065707812324949,0.21262481172327682,120,30,4000,0.9,0.25,142
EA2B,1,22,0.20777020037905936,0.21328593350710912,120,30,4000,0.9,0.25,142
EA2B,1,23,0.21111291234718424,0.21265478238530405,120,30,4000,0.9,0.25,142
EA2B,1,24,0.217483532679888,0.21863515878614742,120,30,4000,0.9,0.25,142
EA2B,1,25,0.217483532679888,0.21863515878614742,120,30,4000,0.9,0.25,142
EA2B,1,26,0.217483532679888,0.21863515878614742,120,30,4000,0.9,0.25,142
EA2B,1,27,0.219499284088361,0.22191768568631773,120,30,4000,0.9,0.25,142
EA2B,1,28,0.21965987674281173,0.22208618512760378,120,30,4000,0.9,0.25,142
EA2B,1,29,0.22242138040311565,0.22423845234338188,120,30,4000,0.9,0.25,142
EA2B,1,30,0.22257256290353417,0.22436073017063624,120,30,4000,0.9,0.25,142
